hablar español,speak Spanish
verdes,green (pl)
usamos,we use
necesitamos,we need
zapatos,shoes
estos,these (m)
estas,these
roja,red
usan,they wear
pantalones,pants
necesitan,they need
mis,my (plural)
tus,your
sus,his (pl)
cómo,how
bien,well
estoy,I am
estás,you are (temporary)
está,she is (temporary)
cansado,tired (m)
cansada,tired (f)
señor,Mr.
señora,Mrs.
señorita,miss
hasta mañana,see you tomorrow
cómo está,how are you doing (formal)
buenas tardes,good evening
hasta luego,see you later
usted,you (formal)
te llamas,your name is
se llama,his name is
feliz,happy
mal,bad
muy,very
ocupado,busy (m)
ocupada,busy (f)
hay,there is (there are)
cocina,kitchen
nevera,fridge
dormitorio,bedroom
cama,bed
sala,living room
moderna,modern
tenemos,we have
habitación,bedroom (2)
ventana,window
tienen,they have
reloj (2),clock
estantería,bookshelf
compra,she buys
sillas,chairs
sobre,on top of
pintar,to paint
limpiar,to clean
jardín,garden
planta,plant (n.)
teléfonos,phones
celulares,cellphones
limpia,she cleans
debajo,under
queremos,(we) want
caminar,"(to) walk, walking, (to) go for a walk"
sándwiches,sandwiches
periódico,"newspaper, daily newspaper"
playa,"beach, beaches"
comemos,"(we) eat, (?) do you eat, (?) should we eat"
leemos,"(we) read, (we) are reading"
escribimos,"(we) write, (we) wrote"
correos electrónicos,"email, emails"
tarde (2),"late, afternoon, evening"
vivimos,"(we) live, (we) lived, (we) have lived"
casas,"houses, homes"
divertido,"fun, funny"
aburrido,"boring, bored"
quieren,"(?) do you want, (they) want, (you) want"
comen,"(?) are you eating, (?) do you eat, (they) are eating"
restaurantes,restaurants
comida,"food, meal"
pollo,chicken
arroz,rice
buenos,"good, great, nice"
escriben,"(?) do you write, (they) are writing, (they) write"
viven,"(?) do they live, (?) do you live, (they) live"
leen,"(?) do you read, (they) read, (you) are reading"
abrir,"open, (to) open, opened"
verano,summer
juntos,together
mucho,"a lot, a lot of, much"
camarero,waiter
quisiera,(I) would like
frijol,bean
cerveza,beer
menú,menu
puede traer,can you bring
cuchara,spoon
cuchillo,knife
tenedor,fork
plato,plate
bebida,drink
blanca,white
tinto,red (wine)
otro,another
botella,bottle
sopa,soup
patata,potato
frito,fried
pago,I pay
postre,dessert
habla,she speaks
francés,French
estudia,she studies
hablar,to talk
trabajo,I work
trabajas,you work
trabaja,she works
oficina,office
fábrica,factory
trabajar,to work
quién,who
comer,to eat
beber,to drink
vino,wine
vives,you live
vive,she lives
vivir,to live
Inglaterra,England
Francia,France
Europa,Europe
camarera,waitress
maestra,teacher (f)
portugués,Portuguese
joven,young
dirección,address
número,number
celular,cellphone
amigo,friend (m)
amiga,friend (f)
ser,to be
médico,doctor (m)
médica,doctor (f)
ciudad,city
pueblo,town
novio,boyfriend
novia,girlfriend
mujeres,women
hombres,men
nosotros,we
somos,we are
estudiamos,we study
hablamos,we speak
ellos,they
son,they are
hablan,they speak
estudian,they study
ciudades,cities
universidades,universities
ustedes,you all
muchas,many (f)
jugador,player
fines de semana,weekends
señores,gentlemen
señoras,ladies
cuánto,how much
cuántas,how many
unos,some
vacaciones,vacations
cuántos años,how old
veintiún,21 (m. adj)
veintiuno,21 (counting)
veintidós,22
jóvenes,young (pl)
señoritas,young ladies
adulto,adult
veintitrés,23
veinticuatro,24
jugos,juices
veinticinco,25
sed,thirsty
pizza,pizza
hambre,hungry
calor,hot
frío,cold
abrigo,coat
puesto,I have on
largo,long
sueño,dream
ganas,you win
miedo,scared
de verdad,really (truly)
bailar,to dance
animal,animal
me gusta,I like
chocolate,chocolate
pastel,cake
queso,cheese
favorito,favorite
porque,because (why)
te gusta,you like
creo que,I believe that (I think)
pero,but
algo,something
jugar,to play
correr,to run
me encanta,I love
nadar,to swim
te encanta,you love
piscina,pool
dibujar,to draw
música,music
chica,girl
viejo,old
perros,dogs
les gusta,they like
les encanta,they love
para él,for him
para ella,for her
aquel,that
a mí,to me
a ti,you
a él,to him
zoológico,zoo
a usted,to you
tenis,tennis
a nosotros,to us
a ustedes,to you (all)
tiempo,time
para nosotros,for us
pasar,to pass (to give)
normalmente,normally
pasa,shepasses (he gives)
montar,to ride
caballo,horse
pelota,ball
corre,(she) runs
río,river
camina,she walks
almuerzo,lunch
antes,before
cada,every
cena,dinner
cosa,thing
cosas,things
demasiado,too much
desayuno,breakfast
después,after
diario,newspaper
difíciles,difficult (pl)
ducharse,to shower
fáciles,easy (pl)
hace,she makes
hacemos,we make
hacen,they make
hacer, to make
haces,you make
hago,I make
me pongo,I put on
ponerse,to put on
sale,she leaves
sales,you leave
salgo,I leave
se pone,she puts on
solo,only
tarde,late
levantarse, to get up
tarea,homework
te pones,you put on
temprano,early
toman,they take
tomo,I take
voy,I go
vas,you go
a menudo,often
va,she goes
todos,every (all)
cine,movie theater
noche,night
vamos,we go
días,days
van,they go
media,half (or thirty in time)
televisión,tv
sábados,Saturdays
mirar,to watch
tengo que,I have to
domingos,Sundays
tienes que,you have to
tiene que,she has to
me levanto,I get up
me ducho,I shower
hora,hour (time)
a qué hora,at what time
te levantas,you get up
te duchas,you shower
se levanta,she gets up
se ducha,she showers
once (Spanish),11
doce,12
hoy,today
lunes,Monday
mañana,tomorrow
partido,game
martes,Tuesday
fútbol,soccer
cuándo,when
miércoles,Wednesday
jueves,Thursday
viernes,Friday
día,day
béisbol,baseball
qué,what
cumpleaños,birthday
sábado,Saturday
fiesta,party
domingo,Sunday
concierto,concert
divertido,fun (m)
divertida,fun (f)
baile,dance
favorito,favorite (m)
favorita,favorite (f)
película,movie
semana,week
fin de semana,weekend
disfruta,enjoy
cero,zero
bolígrafos,pens
libros,books
cuatro,four
biblioteca,library
computadoras,computers
bibliotecas,libraries
aprendo,I learn
aprendes,you learn
aprende,he/she learns
cinco,five
aprender,to learn
esta,this (f)
preguntas,questions
seis,six
clases,classes
siete,seven
ocho,eight
estudiantes,students
de compras,shopping
buscar,to look for
abre,it opens
cierra,it closes
mí,me
ti,you (non-subject)
buscas,you look for
precio,price
talla,size
me puedo probar,can I try on
probador,fitting room
cara,expensive (f)
cuesta,it costs
trece,thirteen
quince,fifteen
cuestan,they cost
peso,money (a specific currency)
dólares,dollars
catorce,fourteen
dieciséis,sixteen
diecisiete,seventeen
dieciocho,eighteen
diecinueve,nineteen
veinte,twenty
en efectivo,in cash
tarjeta de crédito,credit card
banana,banana
quieres,you want
quiere,she wants
más,more
té,tea
ayuda,help
necesitas,you need
necesita,he/she needs
uso,I use
usas,you use
usa,she is using
usar,to use
cartera,wallet/purse
viajar,to travel
cerca de,close to
tren,train
cerca,near
ir,to go
estación,station
estamos,we are (temporary/location)
del,of the (or from the)
parque,park
al,to the
están,they are (temporary/location)
lejos,far
al lado,next to
parada,stop (as in bus stop)
puerta,door
tomar,to take
izquierda,left
derecha,right
metro,subway
los,the (plural)
las,the (plural f.)
jefe,boss
mensaje,message
secretaria,secretary
escritorio,desk
escribe,she writes
tener,to have
carta,letter
cuál,which
poco,little
correo electrónico,email
negocio,business
ahora,now
lee,she reads
