abras,open
mejor,better
paciente,patient
pacientes,patients
peor,worse
peso,weight
piel,skin
por suerte,Fortunately
resfriadas,colds
resfriado,a cold
se enferma,gets sick
se quemaron,they burned
se quemó,it burned
tos,cough
arena,sand
aventura,adventure
gigante,huge
hacer,to do
invisible,invisible
mágico,magical
poder,can
querer,want
saber,know
sabrías,You'd know
aprenderíamos,we would learn
aprenderían,they would learn
comería,would eat
comerían,would eat
comerías,would you eat
competir,compete
competiría,would compete
competirías,would you compete
comprar,purchase
concurso,contest
conocerían,they would know
cultura,culture
culturas,cultures
dormiríamos,we would sleep
dormirían,they would sleep
en
                    mi lugar,in my place
en su lugar,instead
en tu lugar,in your place
entre,Come in
escribiría,would write
imaginan,imagine
imaginarias,imaginary
imaginario,imaginary
imaginas,imagine
leerían,would read
maravillosa,wonderful
maravilloso,marvelous
planeta,planet
preferiría,I'd prefer
secreta,secret
secretas,secret
secreto,secret
secretos,secrets
tanto,so much
trabajar,to work
trabajarías,would you work
u,or
viajaríamos,we would travel
viajarías,would you travel
visitar,to visit
visitaría,would visit
visitarías,would you visit
viviría,would live
éxito,success
éxitos,hits
abrazo,hug
acepta,you accept
aceptar,to accept
aceptaste,you accepted
acepto,I agree
aceptó,I agree
alegre,cheerful
alegres,happy
beso,kiss
bodas,wedding
caracteres,characters
carácter,character
carácteres,characters
celebramos,we celebrated
discoteca,discotheque
divorcio,divorce
en el,in it
encantada,Haunted
encantadas,enchanted
encantados,delighted
estado civil,marital status
ex,ex
excusa,excuse
excusas,excuses
hubo,was
humor,humor
me puse,i put on
pareja,couple
parejas,couples
paseo,ride
ponerse,to put on
regalar,give a present
regaló,present
relación,relationship
romance,Romance
se puso,put on
sueño,sleep
te pusiste,you put on
a pie,walking
anual,annual
barrio,neighborhood
barrios,neighborhoods
circo,circus
cola,line
enorme,enormous
enormes,huge
entera,whole
festival,festival
festivales,festivals
frutería,fruit store
habitante,habitant
las afueras,the outskirts
mayoría,most
monumento,monument
monumentos,monuments
parque de atracciones,theme park
pasado mañana,day after tomorrow
pasando,going
pasar,happen
pensar,to think
piensan,think
piensas,do you think
plaza,square
plazas,plazas
principal,major
principales,main
quiosco,kiosk
solamente,only
terraza,terrace
actual,current
actualmente,at the moment
artículo,Article
artículos,articles
causa,cause
causas,Causes
causó,caused
crisis,crisis
curiosa,curious
curioso,curious
daña,hurts
daño,damage
daños,damage
escapen,escape
escapó,escaped
frecuente,frequent
mundial,world
paz,peace
población,population
por el momento,for the moment
publicaron,published
publicó,public
reciente,recent
recientemente,Recently
recientes,recent
según,according to
silenciosa,silent
silenciosamente,silently
silenciosas,silent
silencioso,silent
silenciosos,silent
situaciones,situations
situación,situation
título,title
zona,zone
zonas,zones
contestar,answer
continuar,continue
correo,mail
ratos,rats
respuesta,reply
seguimos,we continue
seguir,continue
sigo,I follow
sigues,are you still
anteayer,the day before yesterday
arroba,at sign
blog,Blog
borramos,we delete
borraste,you erased
borré,I deleted
buzón de
                    voz,voicemail
cable,wire
chateamos,we chat
chatear,chat
chatearon,they chatted
chateaste,you chatted
chateó,chatted
comunicarse,communicate
conectamos,we connect
conectar,connect
conectarme,connect me
conectaron,connected
conecté,i connected
conectó,connected
crea,creates
creamos,we create
crean,create
crear,create
creas,you believe
creo,I believe
creé,i created
creó,I believe
exacta,exact
exactas,exact
experto,expert
foro,forum
informática,computing
instalamos,we install
instalar,to install
instalaron,installed
instalaste,you installed
instaló,installed
intentaste,you tried
intentó,tried
me conecté,I connected
publicidad,advertising
publicidades,advertisements
página web,Web page
páginas web,websites
quedaron,were left
quedé,I stayed
quedó,stayed
recordó,remembered
se comunicaron,they communicated
se comunicó,he has communicated
se conectaron,they connected
soluciones,solutions
solución,solution
subieron,went up
subió,went up
subí,I went up
tableta,Tablet
te comunicas,you communicate
tecnología,technology
tecnologías,technologies
tema,theme
temas,topics
videojuego,videogame
videojuegos,video game
volvió,went back
decisiones,decisions
descripciones,descriptions
descripción,description
discutir,argue
distinta,different
distintas,different
distinto,distinct
distintos,different
experiencia,experience
experiencias,experiences
honesto,honest
importancia,importance
imposible,impossible
incorrecto,incorrect
necesaria,necessary
necesarias,necessary
necesario,necessary
necesarios,necessary
o,either
opciones,options
opción,option
opiniones,opinions
opinión,opinion
oportunidad,chance
oportunidades,opportunities
para,for
personal,staff
personales,personal
progreso,progress
ventaja,advantage
ventajas,advantage
única,only
único,unique
pasttense61,pasttense61
pasttense62,pasttense62
pasttense63,pasttense63
pasttense,pasttense
alguien,someone
amistad,friendship
audiencia,audience
caballero,Knight
campesino,farmer
campesinos,farmers
ciudadana,citizen
ciudadano,citizen
ciudadanos,citizens
con calma,calmly
confiar,rely
costumbre,custom
costumbres,customs
doble,double
enemigo,enemy
enemigos,enemies
feria,fair
gentes,people
humanidad,humanity
individuo,individual
individuos,individuals
matrimonio,marriage
mil,one thousand
miles,Thousands
nadie,no one
ni,neither
personalidad,personality
revolución,revolution
sentirse,feel
sino,otherwise
tercera,third
tercero,third
testigo,witness
testigos,witnesses
todos,everyone
toneladas,tons
trabajador,employee
trabajadoras,workers
trabajadores,workers
turismos,passenger cars
tímido,shy
vecina,neighbor
vecino,neighbour
vecinos,neighbours
víctima,victim
víctimas,victims
ayuntamiento,town hall
centro,center
colonia,Suburb
colonias,colonies
continente,continent
continentes,continents
criar,breed
cárcel,jail
desde,since
estrecho,narrow
hacienda,tax authorities
hogar,home
hogares,homes
instituciones,institutions
institución,institution
instituto,Institute
nación,nation
oestes,wests
palacio,palace
parecer,seem
pasado,last
pasear,sightseeing
patria,homeland
pista,clue
pistas,tracks
puerto,port
terreno,ground
territorio,territory
torre,tower
torres,towers
venir,to come
acuerdo,agreement
acuerdos,agreements
administración,administration
agricultura,farming
alcalde,mayor
alcaldesa,mayoress
arresto,arrest
arrestos,arrests
campaña,campaign
candidata,candidate
candidato,candidate
candidatos,candidates
civil,civil
civiles,civilians
comunidad,community
conflicto,conflict
conflictos,conflicts
congreso,congress
constitución,Constitution
cooperación,cooperation
corrupción,corruption
crimen,crime
debate,debate
declaraciones,statements
declaración,declaration
defensa,defending
democracia,democracy
democrática,democratic
democrático,democratic
demócrata,democrat
derecho,right
derechos,Rights
dictadura,dictatorship
dictaduras,dictatorships
discurso,speech
diálogo,dialogue
déficit,deficit
ejército,army
elecciones,elections
elección,choice
electoral,electoral
electorales,electoral
embajador,ambassador
embajadora,ambassador
estabilidad,stability
estrategia,strategy
federación,federation
federal,federal
gobernador,governor
gobierno,government
humano,human
ilegal,illegal
imperio,empire
imperios,empires
impuesto,tax
impuestos,taxes
independencia,independence
justicia,Justice
legislación,legislation
libertad,Liberty
líder,Leader
líderes,leaders
manifestaciones,demonstrations
manifestación,manifestation
ministerio,ministry
ministra,minister
ministro,Minister
oposición,opposition
organismo,organism
organismos,organisms
organizaciones,organizations
organización,organization
pobreza,poverty
poderes,powers
política,politics
políticas,policies
político,political
políticos,politicians
presidencia,presidency
presidencial,presidential
presupuesto,budget
pública,public
públicas,public
público,public
públicos,public
republicano,republican
república,republic
riqueza,wealth
riquezas,riches
seguridad,safety
senador,senator
senadores,senators
social,Social
socialista,socialist
sociedad,society
violencia,violence
amor,love
autobiografía,autobiography
breve,brief
breves,brief
capítulo,chapter
capítulos,chapters
charlar,to chat
ciencia ficción,Science fiction
creativa,creative
creativo,creative
empezarán,they will start
escribir,to write
escribiremos,we will write
escribirás,you will write
escritor,writer
estudiaremos,will study
estudiarán,they will study
firmamos,we sign
firman,sign
firmará,will sign
firmas,firms
firme,sign
firmo,I sign
hispana,hispanic
hispanos,hispanic
leerlo,reading it
leerán,they will read
literatura,literature
llamarse,called
llamará,call to
llamaré,I will call
llegaremos,we will arrive
llegará,reach
llegaré,I will arrive
novela,novel
novelas,novels
poema,poem
protagonistas,protagonists
párrafo,paragraph
párrafos,paragraphs
quedaremos,we will stay
quedará,will remain
quedarás,you will stay
quedaré,I will stay
romántica,romantic
romántico,Romantic
románticos,romantic
se llamará,Will be called
se llamarán,they will be called
terminarás,you will finish
terminaré,I will finish
textos,texts
traducirán,will translate
traduciré,I will translate
veremos,we will see
verá,you will see
verán,they will see
verás,you will see
veré,I will see
a través de,via
a través del,through the
agrega,add
asa,handle
compre,I bought
corte,court
descanse,rest
empuje,push
envíe,send
estacione,park
llene,fill
oigan,listen
organiza,organize
pasa,happens
pongan,put
prepara,prepare
prepare,prepare
regrese,I am back
repare,I fixed
reserve,reserve
salgan,come out
seca,dry
tengan,have
traigan,bring
uso,use
vengan,come
zapatos deportivos,sports shoes
academia,academy
academias,academies
acento,accent
autor,Author
autora,author
autoras,authors
biografía,Biography
caminando,walking
cocinando,cooking
corriendo,in a hurry
corrigiendo,correcting
eligiendo,picking out
en este momento,at this time
ficción,fiction
heroína,heroin
heroínas,heroines
héroe,hero
llamando,calling
llamándolo,calling him
línea,line
líneas,lines
multiplicar,multiply
multiplicarlos,multiply them
números,numbers
respondiendo,answering
siguiendo,Following
solo,only
tomando,taking
viendo,watching
visitando,visiting
visitándolos,visiting them
aprobar,Approve
aprobarás,you will approve
apruebas,you approve
apruebo,I approve
apuntes,notes
contar,count
contaste,did you count
contenido,content
contenidos,contents
conté,counted
corregirlas,correct them
corrige,correct
corrigen,correct
corriges,you correct
corrijo,I correct
cuentan,count
frase,sentence
frases,phrases
instructor,instructor
instructoras,instructors
instructores,instructors
lecciones,lessons
lección,lesson
memorizan,they memorize
memorizarla,memorize it
recordar,remind
repaso,review
resultado,Outcome
resultados,results
resumen,resume
significado,meaning
traducen,translate
traduzco,I translate
útil,Useful
atletas,athletes
histórica,historical
infancias,childhoods
los años,the years
personajes,characters
período,period
torneos,tournaments
árbitro,referee
agencia,agency
antigua,ancient
antiguas,ancient
antiguo,ancient
antiguos,ancient
conexión,Connection
código postal,Postal Code
códigos postales,zip codes
destino,destiny
dirección,direction
directo,straight
directos,direct
distancia,distance
distancias,distances
dueña,owner
dueñas,owners
dueño,owner
dueños,owners
espectacular,spectacular
espectaculares,spectacular
estaciones,seasons
frontera,border
fronteras,borders
hispanohablante,Spanish-speaking
hispanohablantes,Spanish speakers
itinerario,itinerary
llegada,arrival
llegadas,Arrivals
milla,mile
millas,miles
ruinas,ruins
tour,tour
típica,typical
típicos,typical
al conducir,when driving
al cruzar,to cross
al entrar,to enter
al escuchar,when listening
al llegar,arriving
al regresar,when returning
al salir,Upon leaving
al ver,seeing
bajarse,Get down
bajarte,get off
cómo puedo ir,How can I go
funcionan,do they work
funcionar,function
me bajo,I get off
me caigo,I fall down
me puede cambiar,can you change me
me río,I laugh
nos bajamos,we down
nos caemos,we fall
nos reímos,we laugh
pedir,ask for
pediré,I will ask
pediste,you asked
pedí,I asked
pidieron,they asked
pidió,asked
se bajan,they get off
se cae,it falls
se caen,they fall
se ríe,Serie
se ríen,They laugh
sonar,Dream
suena,dream
te caes,you fall
te ríes,you laugh
caer,fall out
campo,countryside
costa,coast
costas,coasts
des,des
desconocida,unknown
desconocido,a stranger
despertar,wake
digas,you say
exploras,you explore
frágil,fragile
frágiles,fragile
galería,Gallery
grupo,cluster
hagas,you do
local,local
locales,local
oficina de correos,post Office
polvo,dust
polvos,powder
pongas,put
regiones,regions
región,region
salgas,come out
sentir,to feel
suelo,I usually
taxista,cabbie
taxistas,taxi drivers
tengas,have
terremoto,earthquake
terremotos,earthquakes
tigre,tiger
vayas,go
vengas,come on
