feo,"ugly, bad"
prácticamente,"practically, virtually"
debajo,under
adelante,"forward, bring forward!, move forward!"
igualmente,"equally, likewise"
principalmente,"mainly, chiefly, principally"
únicamente,"only, solely"
aproximadamente,"approximately, about, around"
recientemente,recently
perfectamente,perfectly
seguramente,"surely, certainly, probably"
nuevamente,"again, once again"
naturalmente,"naturally, of course"
exactamente,exactly
absolutamente,"absolutely, totally"
definitivamente,"definitely, for good, once and for all"
necesariamente,necessarily
relativamente,relatively
apenas,"barely, just, almost"
norteamericana,"American, North American"
argentino,"Argentinian, argentine, clear"
estadounidense,"American, US"
francés,French
británica,"Britisher, Briton, British person"
América,America
Roma,Rome
extranjero,foreign
Argentina,Argentina
el rojo,the red one
la amarilla,the yellow one
el azul,the blue one
encontré,"(I) found, find"
coger,"take, (to) take, catch"
cojo,"(I) take, I'm taking, get"
sí,"yes, yeah, does"
el mío,mine
la tuya,yours
encontraste,"(?) did you find, (you) found"
ahí,"there, then"
vida,"life, lives"
vidas,lives
cogen,"(?) are you taking, (you) take, catch"
coge,"takes, (he) takes, catch"
cogemos,"we're taking, (we) take, (?) are we taking"
no,"no, any"
elegimos,"(we) chose, (we) are choosing, (we) choose"
las nuestras,our
anuncios,"ads, advertisement, advertisements"
anuncio,"ad, advertisement, announcement"
elijo,"I'm choosing, (I) choose, (?) should I choose"
pagaste,"pay, (?) did you pay for, (you) paid for"
querer,"(to) want, love, (to) love"
elige,(it) chooses
eligen,"(?) do they choose, (they) choose"
eliges,"(?) can you choose, (you) choose"
oraciones,"sentences, prayers"
oración,"sentence, prayer"
compramos,"(we) buy, (we) bought, (?) are we buying"
gracioso,funny
graciosa,funny
graciosas,funny
graciosos,funny
usando,"wearing, (?) are you using, using"
encontró,"find, (?) did he find, (he) found"
emocionante,"exciting, moving"
dura,hard
duro,hard
izquierdas,left
derechas,"straight, honest, right hand"
lado,side
posición,"position, lie, social standing"
exterior,"abroad, exterior, outside"
llegada,"arrival, arrived, been enough"
búsqueda,search
tráficos,trafico
orientación,"direction, orientation, aspect"
fin,"end, order"
rumbo,"course, direction"
paso,"step, (I) spend, (I) am spending"
nortes,north
sures,"safe, sure"
explicáis,you explain
suma,"sum, (he/she/it) adds, (he/she/it) adds up"
historias,stories
educación,"education, learning, manners"
colegio,school
grados,"degrees, forms, grades"
material,"material, actual, feed"
capítulo,"chapter, episode, area"
ausencia,"absence, lack"
lectura,"reading, interpretation, lecture"
inteligencia,"intelligence, intelligentsia, understanding"
sección,"section, department"
conocimiento,"knowledge, consciousness"
discusión,"discussion, argument"
academia,"academy, school"
facultad,"faculty, authority, college"
explicación,explanation
tema,"subject, issue, theme"
solución,"solution, answer"
cerró,"(?) did he shut, (he) closed, (she) shut"
miró,"(he) looked, (he) looked at, (he) watched"
limpió,"(she) cleaned, clean"
cerraron,"(?) did they close, (they) closed, closed"
miraron,"(they) looked, (they) watched, (?) did they watch"
limpiaron,"(they) cleaned, (?) did they clean, clean"
vaca,cow
vacas,cows
aprendió,"learn, (he) learned"
abrió,"(?) did she open, (it) opened, (she) opened"
escribió,"write, (?) did you write, (he) wrote"
aprendieron,"(they) learned, (?) did they learn, (?) did you learn"
abrieron,"open, (they) opened, (?) did they open"
escribieron,"write, (?) did they write, (they) wrote"
cerdo,"pork, pig"
cerdos,pigs
fue,"(he) was, (he) went, (it) was"
fueron,"were, (?) did they go, (they) left"
búhos,owls
búho,owl
cocinó,"(?) did he cook, (he) cooked, (she) cooked"
cocinaron,"cook, (you) cooked, (they) cooked"
lavó,"wash, (he) washed"
lavaron,"wash, (they) washed"
estuvo,"(he) was, (it) was, (she) was"
estuvieron,"were, (they) were, (you) were"
pez,fish
peces,fish
salió,"(he) left, (he) went out, (she) left"
salieron,"go, (they) left, (?) did they leave"
comió,"eat, (?) did she eat, (?) did you eat"
comieron,"(?) did you eat, (they) ate"
voy,"(I) am going, (I) go, I'm going"
ser,"be, (to) be, being"
estar,"be, (to) be, (to) stay"
pensar,"(to) think, think"
comer,"eat, (to) eat, eating"
tomar,"take, (to) take, (to) drink"
poner,"put, (to) put, (to) set"
mantener,"(to) keep, (to) support, (to) keep up"
volver,"(to) return, (to) come back, (to) go back"
encontrar,(to) find
trabajar,"(to) work, (?) does she work, working"
buscar,"(to) look for, (to) search, (to) seek"
conseguir,"(to) get, (to) find, find"
obtener,"(to) get, (to) win, (to) achieve"
lograr,"(to) achieve, (to) be able to, (to) attain"
esperar,"(to) wait, (to) hope, wait"
entender,"(to) understand, made, understand"
perder,"(to) lose, (to) miss, failed"
contar,"tell, (to) count, (to) tell"
cambiar,"(to) change, (to) exchange"
establecer,"(to) establish, (to) lay down, get"
alcanzar,"catch, (to) catch, (to) catch up with"
ganar,"win, (to) win, (to) earn"
pagar,"pay, (to) pay, (to) pay for"
recibir,"(to) receive, (to) get, take"
caer,"fall, (to) fall down"
utilizar,"(to) use, (to) utilize, borrow"
recordar,"remember, (to) remember, remembering"
presentar,"present, introduce, (to) present"
abrir,"open, (to) open, opened"
sentir,"feel, (to) feel, (to) hear"
resolver,"(to) resolve, solving, (to) solve"
considerar,"consider, (to) consider, (to) consider oneself"
terminar,"(to) finish, (to) end, finish"
llamar,"call, (to) call, calling"
comprender,"(to) understand, understand"
reconocer,"(to) recognize, (to) examine, (to) admit"
pedir,"ask, (to) ask for, (to) make"
mirar,"look, (to) look, (to) watch"
servir,"(to) serve, (to) be useful, serve"
reducir,"(to) reduce, (to) cut, (to) exhume"
olvidar,"(to) forget, forget, forgot"
escuchar,"(to) listen, (to) listen to, (to) hear"
continuar,"(to) continue, going, continue"
venir,"come, (to) come, coming"
quedar,"(to) stay, (to) get together, keep"
empezar,"(to) start, (to) begin, start"
aumentar,"(to) increase, (to) rise, (to) raise"
acabar,"(to) finish, finish"
ofrecer,"(to) offer, (to) offer up, (to) present"
abandonar,"(to) abandon, (to) withdraw, (to) retire"
ayudar,"help, (to) help"
superar,"(to) surpass, (to) overcome, (to) beat"
aprender,"(to) learn, learning, learn"
elegir,"(to) choose, (to) pick, choose"
recuperar,"(to) recover, (to) recover from something, (to) undelete"
descubrir,"(to) discover, (to) find, (to) uncover"
usar,"(to) use, wear, (to) wear"
aplicar,"apply, (to) apply, (to) apply oneself"
demostrar,"show, (to) show, (to) demonstrate"
controlar,"(to) control, (to) control oneself, (to) check"
defender,"(to) defend, (to) defend oneself, (to) uphold"
cerrar,"close, (to) close, (to) shut"
mostrar,"(to) show, show"
vender,"sell, (to) sell, selling"
cuántas,how many
éste,"this, this one, these"
muchos,"many, a lot of, much"
cualquier,"any, anything"
alguna,"any, one, some"
ninguna,"any, no, neither"
qué,"what, how, so"
ambos,both
alguno,"one, any, some (people)"
una,"a, an, one"
uno,"1, one, uno"
esta,this
cualquiera,"any, anyone, just anyone"
que,"to, that, than"
esa,"that, that one, those"
ese,"that, the"
yo fui,I went
tú fuiste,you went
setecientos,"seven hundred, 700"
ochocientos,"eight hundred, 800"
vivieron,(they) lived
vivió,"(?) did he live, (he) lived, (she) lived"
comprendí,"(I) understood, understand"
comprendimos,"understand, (we) understood"
comprendieron,"(?) did you understand, understand, (you) understood"
comprendiste,"(?) did you understand, understand, (you) understood"
comprendió,(she) understood
morir,(to) die
nosotros fuimos,we went
practiqué,"play, (I) played, (I) practiced"
novecientos,"nine hundred, 900"
mandaron,(they) sent
mandamos,"(we) send, (we) sent"
mandé,(I) sent
mandó,"(he) sent, (she) sent, (you) sent"
mandaste,"(?) did you send, (you) sent"
llegué,"(I) arrived, (I) came, (I) was"
recordamos,"(we) remember, (we) remembered"
practicaste,"play, (you) played, (?) did you play"
practicó,"(he) played, (she) played, (you) played"
practicaron,"(they) played, played"
invité,(I) invited
invitaron,(they) invited
invitaste,(?) did you invite
invitó,"(you) invited, (she) invited, invite"
invitamos,"we're inviting, (we) are inviting, (we) invited"
esperé,(I) waited
esperaste,"(you) waited for, (?) did you wait, wait"
esperaron,(they) waited
esperó,"(she) waited for, (he) waited, (you) waited"
esperamos,"(we) hope, (we) are waiting, (we) waited"
comencé,"(I) started, (I) began"
pensamos,"(we) think, (we) thought, (we) are thinking"
pensaron,(they) thought
pensé,(I) thought
pensaste,"(?) did you think, (you) thought"
pensó,"(he) thought, (she) thought"
llegó,"(he) arrived, (he) was, (she) came"
llegaste,"arrive, (you) arrived, (?) did you get"
llegaron,"(?) did you arrive, (they) arrived, (they) got"
llegamos,"(we) arrived, (we) arrive, (?) do we arrive"
miraste,"(you) saw, (?) did you look at, (?) did you see"
miré,"(I) looked, (I) saw, (I) watched"
recuerda,"remember, (she) remembers"
recuerdas,"(you) remember, (?) do you remember"
recuerdan,(?) do you remember
recuerdo,"(I) remember, memory"
trabajaste,"(?) did you work, (you) worked"
trabajaron,(they) worked
trabajamos,"(we) work, (we) worked"
trabajó,"(?) did he work, (he) worked, (she) worked"
trabajé,"(I) worked, work"
usé,"use, (I) used, (I) wore"
usaste,"(you) wore, use, (you) used"
usó,"use, (she) wore, (?) did he use"
usaron,"(they) used, (they) wore"
usamos,"(we) use, (we) used, (we) wear"
comenzamos,"(we) started, (?) do we start, (we) begin"
comenzaron,(they) started
comenzó,"(?) did it begin, (he) started, (it) started"
comenzaste,"start, (you) started, (?) did you start"
pintaron,(they) painted
pintó,"(?) did he paint, (he) painted"
pinté,painted
pintamos,"(we) are painting, (?) are we painting, (we) painted"
pintaste,"(you) painted, (?) did you paint"
cambió,"(he) changed, changed, (she) changed"
cambié,(I) changed
cambiamos,"(we) change, (we) changed"
cambiaron,(they) changed
cambiaste,"change, (you) changed"
ayudamos,"(we) help, (we) helped"
ayudaron,helped
ayudé,(I) helped
ayudó,"(he) helped, (she) helped"
ayudaste,(you) helped
bailó,(she) danced
bailaste,"dance, (you) danced, (?) did you dance"
bailaron,(they) danced
bailé,(I) danced
televisiones,televisions
esponja,sponge
cuna,"crib, cradle"
horno,"oven, furnace"
sartén,"pan, frying pan, fry pan"
secadora,dryer
sótano,"basement, cellar"
escalera,"ladder, stepladder, run"
rasuradora,razor
sábanas,"sheets, bedsheets"
refrigerador,"fridge, refrigerator, refrigerators"
nos despertamos,"(?) are we waking up, (we) wake up"
ah,"ah, oh"
cuerpos,"bodies, to have something to drink, corpses"
cuerpo,body
boca,mouth
sentirnos,"feel, (to) feel"
sentirse,"(to) feel, be, feeling"
sentirme,"(to) feel, feel"
sentirte,"feel, (to) feel"
encima,"on, above, on top of"
despertarte,(to) wake up
despertarme,(to) wake up
despertarse,(to) wake up
despertarnos,"(to) wake up, waking up, waking"
cabeza,head
cabezas,"heads, bunches, hairs"
narices,noses
nariz,nose
oír,"(to) hear, (to) listen, hear"
quedo,(I) get together
quedamos,are we getting together
quedas,you meet
queda,"remains, (she) gets together, is"
quedan,"(they/you-plural) are left, (they) get together, (they/you-plural) stay"
oigo,"(I) hear, (I) listen"
despiertas,"(you) wake up, (?) do you wake up"
se despierta,"(he/she/it)  arouses, (he/she/it)  whets, (he/she/it)  wakes (up)"
me despierto,I wake up
se despiertan,"(they/you-plural)  wake (up), (they/you-plural)  whet, (they/you-plural)  arouse"
piernas,legs
pierna,leg
acordarte,remember
acordarnos,remember
acordarme,remember
brazos,arms
brazo,arm
se levantaron,they rose
te levantaste,you got up
se levantó,"(?) did he get up, (she) got up"
nos levantamos,"(we) got up, (?) are we getting up, (we) get up"
me levanté,I got up
oímos,"(we) hear, (we) heard"
oyen,(they) hear
oyes,"(you) hear, (?) do you hear"
oye,"hey, (you) hear"
gustó,like
se acuerda,she remembers
me acuerdo,I remember
se acuerdan,remember
te acuerdas,do you remember
soñar,"(to) dream, dream, dreaming"
nos acordamos,"(we) remembered, remember, (we) remember"
barba,"beard, beards"
lleva puesto,"he's wearing, (he) is wearing, (?) is he wearing"
cerré,"(I) closed, close, (I) shut"
cerramos,"(we) closed, (we) lock, (we) are closing"
cerraste,"(?) did you close, (you) closed, closed"
despertar,"wake, (to) wake up"
partir,"leave, (to) leave, leaving"
evitar,"(to) avoid, (to) prevent, (to) save"
realizar,"(to) carry out, (to) be realized, (to) realize"
pesar,"Despite, (to) weigh, (to) weigh out"
dejar,"let, (to) leave, (to) allow"
crear,"(to) create, create, thoughts"
tratar,"(to) try, (to) treat, try"
producir,"(to) produce, (to) give rise to, (to) yield"
aceptar,"(to) accept, agreed, fall"
viajé,"(I) traveled, travel"
hablé,"(I) spoke, (I) talked, talk"
probé,"try, (I) tried"
viajaste,"(?) did you travel, travel, (you) traveled"
hablaste,"(you) talked, (?) did you speak, (you) spoke"
probaste,"try, touch, (you) tried"
pasada,last
pasado,"last, past, given"
bebí,"(I) drank, drink, (I) had"
comí,"(I) ate, eat, (I) had"
viví,(I) lived
comiste,"eat, (you) ate, (?) did you eat"
bebiste,"drink, (you) drank, (?) did you drink"
viviste,"(?) did you live, live, lived"
ayer,yesterday
fui,"(I) went, (I) was, (I) left"
fuiste,"were, (you) were, (you) went"
visité,(I) visited
visitaste,"visit, (?) did you visit, (you) visited"
estudié,"(I) studied, study"
estudiaste,"(?) did you study, (you) studied"
viaje,"trip, journey"
viajes,"travels, trips, (you) travel"
estuve,(I) was
estuviste,"(you) were, (you) stayed"
conocí,"(I) knew, knew, know"
conociste,"(you) met, (you) knew, (?) did you meet"
aprendí,(I) learned
aprendiste,"(you) learned, (?) did you learn, learn"
hace mucho tiempo,a long time ago
nevar,"(to) snow, snowing, snow"
llover,"(to) rain, raining"
calurosa,"hot, warm"
caluroso,"hot, warm"
calurosos,"hot, warm"
fría,"cold, colder"
frío,"cold, cold weather"
fríos,cold
comenzar,"start, starting, (to) begin"
todo,"everything, all, whole"
clima,weather
nevando,snowing
encantar,"(to) love, love"
dormimos,"(we) sleep, (we) slept"
lloviendo,raining
encontrarme,(to) meet up
encontrarse,(to) meet up
encontrarnos,(to) meet up
encontrarte,(to) meet up
primera,first
primero,"first, 1, 1st"
primeros,first
primeras,"first (plural), first gear (plural), first class (plural)"
caminó,"(she) walked, walk, (?) did you walk"
lluvia,rain
árboles,trees
árbol,tree
se encuentran,(they) meet up
te encuentras,(?) are you meeting up
se encuentra,he's meeting up
me encuentro,(I) meet up
comienzas,"(you) begin, (?) do you start, start"
comienza,"(?) does it start, (she) begins, (she) starts"
comienzo,"start, beginning, (I) begin"
comienzan,"(?) do they start, (they) begin, (they) start"
haber,"(to) have, (to) be, be"
duerme,"(he) is sleeping, (he) sleeps, (she) sleeps"
duermes,"sleep, (you) sleep, (?) do you sleep"
duermo,"sleep, (I) sleep, (I) fall asleep"
duermen,"(?) do you sleep, (they) sleep"
llovió,"(it) rained, rain"
nevó,"(it) snowed, snow"
fue un,was a
fueron unos,they were about
corrió,"(she) ran, run, (you) ran"
nos encontramos,"(we) are meeting up, meeting, (?) are we meeting up"
montaste,"(?) did you ride, start, ride"
bola,ball
bolígrafo,pen
moneda,"coin, currency, piece"
moto,"motorcycle, motor scooter, motorbike"
celular,"cellphone, cell phone, cell"
radio,radio
pluma,"pen, feather"
campana,"bell, hood"
fuente,"fountain, source, spring"
objeto,"object, (I) object"
aparato,"gadget, apparatus, piece of apparatus"
vehículo,vehicle
alcoholes,alcohols
pantalla,screen
piezas,"pieces, bedrooms, rooms"
polvo,"dust, powder, face powder"
auto,"car, auto, automobile"
columna,"column, spine, backbone"
bandera,"flag, colors, flagship"
bomba,"bomb, big news, gas station"
arma,"weapon, make a bundle!, make a fortune!"
doctor,"doctor, doctors"
secretario,secretary
autor,"author, perpetrator, writer"
juez,"judge, referee"
guardia,"guard, police officer, policeman"
profesor,"professor, teacher"
poeta,poet
soldado,"soldier, knitted, knitted together"
abogado,"(a) lawyer, (a) solicitor, (an) attorney"
capitán,"captain, flight lieutenant, master"
periodista,"journalist, reporter"
actor,actor
empleados,"employees, bank clerk, clerks"
coronel,colonel
especialidad,"specialty, medicine, singularity"
príncipe,prince
comandante,"commander, captain, commanding officer"
agente,agent
dueño,"owner, landlord, proprietor"
especialistas,"specialists, experts"
profesión,"profession, calling, career"
sacerdote,priest
panadero,baker
carpintero,"carpenter, joiner"
granjero,farmer
cajero,cashier
cocinero,cook
enfermera,nurse
atletas,athletes
cocinada,"cooked, cooked (feminine)"
pagada,paid
hecho,"made, done, fact"
dedicado,dedicated
sentado,"sitting, seated"
herido,hurt
seguida,"followed, consecutive, continued"
publicada,"divulged, disclosed, published"
detenido,"stopped, detained, detainee"
toqué,"(I) touched, (I) played, play"
oí,"(I) heard, (I) listened, hear"
siquiera,"at least, even"
dejaron,"(they) left, (they) stopped"
quedó,"(she) kept, stay"
pasó,"happened, (?) did it happen, (he) had"
volvió,"(he/she/it/you) returned, (he/she/it/you) went back, (he/she/it/you) came back"
pidió,"(he/she/it/you) asked for, (he/she/it/you) asked, (he/she/it/you) begged"
mostró,"(he) showed, (she) showed"
logró,"(he/she/it/you) was/were able to, (he/she/it/you) achieved, (he/she/it/you) attained"
siguió,"(he/she/it/you) continued, (he/she/it/you) followed, (he/she/it/you) took"
presentó,"introduced, (he/she/it/you) introduced, (he/she/it/you) introduced oneself"
perdió,"(?) did he lose, (?) did she lose, (?) did she miss"
sintió,"(he) felt, (she) felt"
recordó,"(he) remembered, (she) remembered"
iniciaron,start
cayó,(he) fell
apareció,"(he/she/it/you) appeared, (he/she/it/you) produced, (he/she/it/you) seemed"
consiguió,"(he) got, (she) got"
permitió,"(he/she/it/you) allowed, (he/she/it/you) permitted, allowed"
contó,"(he/she/it/you) counted, (he/she/it/you) told, (he/she/it/you) counted on"
obtuvo,"(?) did they get, (he) got, (he) won"
contestó,(he) answered
alcanzó,"(he/she/it/you) reached, (he/she/it/you) caught, (he/she/it/you) achieved"
sacó,"(he/she/it/you) took out, (he/she/it/you) took, (he/she/it/you) took off"
negó,"(he/she/it/you) denied, (he/she/it/you) denied oneself, (he/she/it/you) refused"
consideró,"(he/she/it/you) considered, (he/she/it/you) considered oneself, (he/she/it/you) gave … consideration"
intentó,"(he/she/it/you) tried to, attempted, tried"
insistió,(he/she/it/you) insisted
ofreció,"(?) did he offer, (he) offered, (she) offered"
gentes,people
población,"population, city, colony"
cultura,"culture, arts"
trabajador,worker
revolución,revolution
ciudadano,"citizen, character, sir"
vecinos,neighbors
audiencia,"audience, court, hearing"
pareja,"couple, partner"
matrimonio,"marriage, wedding, (I) get married"
víctimas,victims
individuos,"individuals, characters"
turismos,tourism
humanidad,"humanity, mankind"
enemigo,enemy
costumbre,"habit, custom, practice"
campesinos,"peasants, farmers, rural"
feria,"fair, (he/she/it) sells, (you-formal) sell"
caballero,"gentleman, knight"
testigo,"witness, baton, control"
sino,"but, but rather, if not"
ni,"nor, neither, not"
mayoría,"majority, most"
miles,thousands
mil,"thousand, 1000, a thousand"
toneladas,"tons, tonnes"
doble,"twice, double!, (I/he/she/it/you) double"
tercero,third
números,"numbers, acts, constables"
tercera,third
comunidad,community
región,"region, area, district"
plaza,"square, plaza, park"
zona,"zone, area, place"
puerto,"port, harbor, gate"
costa,"coast, bank, costs"
institución,"institution, establishment"
instituto,"institute, college, high school"
nación,"nation, country, land"
terrenos,"terrestrial, lands, soils"
palacio,palace
territorio,"territory, country, region"
barrio,neighborhood
cárcel,"prison, jail, can"
hacienda,"ranch, estate, (he/she/it) grants … land(s)"
patria,"homeland, home country, mother country"
festival,festival
torre,"tower, tower block, (I/he/she/it/you) roast"
hogar,"home, hearth"
frontera,"border, frontier"
pista,"clue, course, court"
continente,continent
galería,"gallery, balcony, cornice"
colonia,"colony, cologne, community"
oestes,west
agencia,"agency, (you-formal) pinch, (you-formal) swipe"
distancia,"distance, away"
capital,"capital, capital city"
preferir,"(to) prefer, prefer, preferring"
acostarse,"(to) go to bed, (to) lie down"
allí,"there, in there"
un poco,somewhat
fantásticos,fantastic
fantásticas,fantastic
fantástico,"fantastic, great"
fantástica,fantastic
morado,purple
morada,purple
odiar,"(to) hate, (to) pester, (to) hassle"
prefieres,"(you) prefer, (?) do you prefer"
prefiero,(I) prefer
prefieren,"(they) prefer, (?) do you prefer"
prefiere,"(?) does he prefer, (she) prefers"
preferimos,"(we) preferred, (we) prefer"
nos acostamos,we lay down
acostarme,"(to) go to bed, (to) lie down, going to bed"
acostarte,"(to) go to bed, going to bed, (you) lie down"
acostarnos,(to) go to bed
cuando,"when, whenever, as"
me acuesto,(I) go to bed
te acuestas,"(you) go to bed, (you) are going to bed, (you) lie down"
se acuesta,(he) goes to bed
se acuestan,they lie down
gustaron,"(I) like, (I) liked, (they) like"
ajedrez,chess
gimnasio,gym
gimnasios,gyms
golf,golf
generalmente,"generally, usually"
frecuentemente,"often, frequently"
de vez en cuando,"once in a while, sometimes, now and then"
odio,"(I) hate, hate"
odian,(they) hate
odiaste,(?) did you hate
odia,"(?) does he hate, (he) hates, (she) hates"
odiaron,(they) hated
grandísimo,really big
cansadísimo,really tired
encantó,"(?) did you love, (I) loved"
facilísimo,really easy
encantaron,(?) did you love
dificilísimo,really difficult
estudiáis,"(?) do you study, (you) study"
muestra,"(he/she/it) shows, sample, show"
sigue,"(you) continue, (you) follow, (you) go"
jugáis,(?) do you play
probáis,"(you) try, (?) are you trying"
peso,"weight, by weight, (I) weigh"
encuentra,(he) finds
estáis,"(?) are you, (you) are"
soñáis,(you) dream
aparece,"appear!, (you-formal) appear, (he/she/it) appears"
presenta,"(he/she/it) presents, introduce, present"
cerráis,(you) close
acepta,"(you-formal) accept, (he/she/it) accepts, take"
da,"(he) gives, (she) is giving"
respeta,"(he/she/it) respects, (he/she/it) respects oneself, (he/she/it) observes"
cabe,"be, fit, go"
acaba,"ends, just, (he/she/it) ends"
cuenta,"check, bill, account"
parecemos,"looking, look"
servís,"(you) serve, (?) do you serve"
siente,feels
firma,"(he/she/it) signs, signature, firm"
incluye,"(he/she/it) includes, include!, (you-formal) include"
entrega,"delivery, (he/she/it) delivers, (he/she/it) gives"
culpa,"fault, blame!, (you-formal) blame"
entráis,"start, (you) go into, (you) start"
importan,"(they/you-plural) import, (they/you-plural) matter, (they/you-plural) amount to"
depende,"(he/she/it) depends, (you-formal) depend, depend!"
abrís,(you) open
requiere,"(he/she/it) requires, (he/she/it) summons, require!"
empieza,"starts, (?) does it start, (it) begins"
decís,"(you) are telling, (you) tell, (you) say"
gusta,like
compráis,"(?) do you buy, buy, (?) are you buying"
duda,"certainly, definitely, surely"
llena,"full, (you) fill out, crowded"
salvo,"(I) save, safe, (I) cover"
pedís,"(?) are you asking for, (you) ask for"
regresáis,"return, (?) do you return"
preguntáis,"ask, (you) ask, (?) can you ask"
continúa,"(he/she/it) continues, (you-formal) continue, continue!"
posee,"(he/she/it) owns, own!, (you-formal) own"
mezcla,"(he) mixes, (you) mix"
ganáis,"win, earn, (?) do you earn"
para,"for, to, (he) stops"
permite,"allow, (he/she/it) allows, (he/she/it) permits"
recibís,"(you) receive, receive, (?) do you receive"
vivís,"live, lived, (?) do you live"
añadís,"(you) add, add, (?) do you add"
considera,"consider, thinks, consider!"
utiliza,"used, (he/she/it) utilizes, utilize!"
vale,"(he/she/it) is worth, (to) be worth, (he/she/it) OK'S"
contiene,"(he/she/it) contains, (he/she/it) contains oneself, (he/she/it) holds"
gastáis,"(you) spend, spend"
reconoce,"recognize!, (you-formal) recognize, (you-formal) acknowledge"
interesa,"(they) are interested, interest"
entiende,"(?) do you understand, (he) understands, understand"
derrota,"defeat!, beat, (you-formal) defeat"
cuesta,"(?) does it cost, (it) costs, (it) is"
ocupa,"deals, (he/she/it) takes up, take up!"
cortáis,"cut, (you) cut"
rechazo,"(I) reject, rejection, (I) repel"
deja,"(she) lets, (you) put down, (you) stop"
afecta,"affect!, (he/she/it) affects, (you-formal) affect"
mejorar,"(to) improve, (to) get better"
desea,"want, (he/she/it) desires, (he/she/it) wants"
alcanza,"catch, (he/she/it) reaches, catch up with!"
observa,"(he/she/it) observes, (he/she/it) remarks, (he/she/it) abides by"
consulta,"consultation, consult, (he/she/it) consults"
voláis,"fly, (you) fly, (?) do you fly"
pierde,(he) loses
creo,"(I) think, (I) believe, (?) do I create"
intento,"attempt, (I) try to, aim"
reserváis,"book, (?) can you book, (you) book"
expresa,"(he/she/it) expresses, express!, (he/she/it) expresses oneself"
ponéis,"(?) do you put, (you) put"
tratáis,"(you) try, (?) do you try"
usáis,"(?) do you use, use"
termináis,"finish, (you) finish, (?) do you finish"
creéis,"believe, (you) believe, (?) do you believe"
pertenece,"(?) does it belong, (it) belongs, belong"
anda,"(he/she/it) walks, (he/she/it) works, (he/she/it) is"
levanta,(you) pick up
necesitáis,"(?) do you need, (you) need"
descansa,"(he/she/it) rests, (he/she/it) rests / hinge on something, rest / hinge on something!"
esperáis,"(?) do you wait, (you) wait"
cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
ofrece,(he) offers
tiro,"throw, kick, (I) throw"
giráis,"turn, (you) turn"
cura,"cure!, (you-formal) cure, bandage"
secan,"dry, (?) do you dry"
saltar,"(to) jump, (to) jump over, (to) circumvent"
odiáis,"(?) do you hate, hate"
nadamos,"(we) swim, (we) swam"
caminamos,"(we) walk, (we) walked, (we) are walking"
disfrutamos,"(we) enjoy, (we) are enjoying, (we) enjoyed"
pasamos,"spend, (we) spent, (we) are spending"
nieve,snow
viajamos,"(we) travel, (we) traveled, we're traveling"
practicamos,"(we) played, (we) practice, (we) practiced"
salimos,"(we) went out, (we) go out, (we) are leaving"
vimos,"(we) saw, (we) watched"
bebimos,(we) drank
